תעודת זהות,תאריך ביקור,קוד הבחנה,עומק קוד הבחנה,תיאור הבחנה,קוד מרפאה,סוג קוד
211009063.0,1997-11-02 08:08:38,455.5,4,External hemorrhoids with other complication,5893,icd9
334980194.0,2000-07-21 21:55:34,724.00,5,"Spinal stenosis, unspecified region",1822,icd9
217266743.0,2012-10-06 00:28:56,376.36,5,Lateral displacement of globe,3600,icd9
292894565.0,1988-12-11 15:45:49,610.8,4,Other specified benign mammary dysplasias,1211,icd9
311074348.0,1983-04-17 01:58:19,627.9,4,Unspecified menopausal and postmenopausal disorder,1282,icd9
298471335.0,1979-11-19 15:48:31,228,3,"Hemangioma and lymphangioma, any site",7364,icd9
,1998-05-08 14:31:51,375.53,5,Stenosis of lacrimal canaliculi,7882,icd9
218045480.0,2001-07-27 03:34:56,848.9,4,Unspecified site of sprain and strain,3611,icd9
,2007-04-01 17:18:31,824.4,4,"Bimalleolar, closed",8724,icd9
247350311.0,1976-03-01 23:53:29,V71.89,5,Other specified suspected conditions,2047,icd9
245860081.0,1999-09-03 11:43:58,635,3,Legally induced abortion,2912,icd9
346160019.0,2005-05-27 00:52:01,216.9,4,"Skin, site unspecified",6238,icd9
,1997-06-23 04:09:11,784.69,5,Other,3894,icd9
,2013-10-22 02:23:49,313.3,4,Relationship problems,3600,icd9
319469257.0,1992-12-10 02:56:16,364.52,5,Iridoschisis,9623,icd9
,1994-08-12 17:18:03,576.1,4,Cholangitis,2533,icd9
345927541.0,2010-05-20 21:29:18,622.10,5,"Dysplasia of cervix, unspecified",1323,icd9
322022411.0,1992-03-02 14:18:05,E980.5,4,Unspecified drug or medicinal substance,3962,icd9
,1992-09-28 15:59:50,370.62,5,Pannus (corneal),7087,icd9
275446425.0,1994-07-18 15:40:17,787.22,5,"Dysphagia, oropharyngeal phase",5893,icd9
226298520.0,1986-04-27 02:12:23,V58.74,5,"Aftercare following surgery of the respiratory system, NEC",1286,icd9
,1985-12-14 14:25:35,560.81,5,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),2912,icd9
255959303.0,1994-05-17 23:34:49,E948,3,Bacterial vaccines,1211,icd9
,2008-08-25 02:14:01,V54.02,5,Encounter for lengthening/adjustment of growth rod,6321,icd9
273363463.0,1995-10-04 08:05:17,087.0,4,Louse-borne,7485,icd9
380546430.0,1990-01-12 21:00:26,381.05,5,Acute allergic mucoid otitis media,3962,icd9
381213541.0,1996-01-15 10:19:50,E874.8,4,Other specified procedures,2344,icd9
,2003-10-09 02:12:16,524.01,5,Maxillary hyperplasia,1282,icd9
215103194.0,2006-03-02 09:30:08,053.20,5,Herpes zoster dermatitis of eyelid,1977,icd9
255747374.0,2000-12-26 10:07:41,038.8,4,Other specified septicemias,9566,icd9
201440645.0,2018-07-28 11:39:00,209.51,5,Benign carcinoid tumor of the appendix,5714,icd9
,2013-09-13 14:24:32,733.98,5,Stress fracture of pelvis,1822,icd9
377771147.0,2007-02-02 21:17:27,370.03,5,Central corneal ulcer,2344,icd9
