תעודת זהות,תאריך ביקור,קוד הבחנה,עומק קוד הבחנה,תיאור הבחנה,קוד מרפאה,סוג קוד
237766227.0,1985-02-12 00:58:00,971.9,4,Unspecified drug primarily affecting autonomic nervous system,5196,icd9
,1974-01-15 01:05:58,385.30,5,"Cholesteatoma, unspecified",3075,icd9
243205257.0,2012-10-14 00:10:28,130.9,4,"Toxoplasmosis, unspecified",7116,icd9
262170634.0,1992-05-14 14:26:44,020.9,4,"Plague, unspecified",2972,icd9
283295519.0,2003-09-02 08:29:16,195.5,4,Lower limb,9186,icd9
336619755.0,1982-01-21 02:20:00,E945,3,Agents primarily acting on the smooth and skeletal muscles and respiratory system,4303,icd9
310645927.0,1971-07-21 10:04:34,277.83,5,Iatrogenic carnitine deficiency,3146,icd9
246952587.0,1972-01-01 10:29:54,988.0,4,Fish and shellfish,5893,icd9
240760072.0,1996-12-30 03:16:14,996.93,5,Finger(s),3894,icd9
237260271.0,2005-04-19 09:10:06,378.2,4,Intermittent heterotropia,1822,icd9
371807532.0,2007-03-11 05:18:11,259.52,5,Partial androgen insensitivity,3075,icd9
377290789.0,2020-02-24 11:22:06,590.80,5,"Pyelonephritis, unspecified",6321,icd9
225570124.0,1981-04-01 13:16:52,349.89,5,Other,5196,icd9
,1986-01-17 09:23:40,433,3,Occlusion and stenosis of precerebral arteries,4303,icd9
316520411.0,1998-04-25 21:29:42,308.2,4,Predominant psychomotor disturbance,7364,icd9
343585434.0,1981-07-17 09:10:50,V85.23,5,"Body Mass Index 27.0-27.9, adult",4224,icd9
339340081.0,2000-03-06 23:22:43,V58,3,Encounter for other and unspecified procedures and aftercare,1500,icd9
229485839.0,1998-01-09 14:21:18,386.4,4,Labyrinthine fistula,7882,icd9
370385986.0,2013-06-16 09:45:28,E875.1,4,Contaminated substance injected or used for vaccination,1500,icd9
325201840.0,1993-02-25 20:11:12,346.8,4,Other forms of migraine,7882,icd9
313001831.0,2003-10-18 21:31:02,653.3,4,Outlet contraction of pelvis,4224,icd9
