סוג קוד,תיאור הבחנה,קוד הבחנה,תאריך ביקור,תעודת זהות
247530334,2007-04-26 03:21:12,T85620A,"Displacement of cranial or spinal infusion catheter, initial encounter",icd10
219575096,1989-10-18 11:08:56,E861,Hypovolemia,icd10
320774874,2010-06-12 11:53:18,S72452R,"Displaced supracondylar fracture without intracondylar extension of lower end of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",icd10
350066780,1982-12-21 22:15:37,S98021A,"Partial traumatic amputation of right foot at ankle level, initial encounter",icd10
317474914,1991-06-12 05:27:51,T84117S,"Breakdown (mechanical) of internal fixation device of bone of left lower leg, sequela",icd10
365580836,2003-05-01 02:37:31,M84752D,"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing",icd10
367932311,1980-09-18 17:52:45,S82829G,"Torus fracture of lower end of unspecified fibula, subsequent encounter for fracture with delayed healing",icd10
314273037,1973-04-20 07:10:58,S92355B,"Nondisplaced fracture of fifth metatarsal bone, left foot, initial encounter for open fracture",icd10
215600020,2004-12-27 11:10:40,T84052A,"Periprosthetic osteolysis of internal prosthetic right knee joint, initial encounter",icd10
348661251,2007-07-25 23:55:48,S62126D,"Nondisplaced fracture of lunate [semilunar], unspecified wrist, subsequent encounter for fracture with routine healing",icd10
331554893,2011-10-23 10:50:36,S72446A,"Nondisplaced fracture of lower epiphysis (separation) of unspecified femur, initial encounter for closed fracture",icd10
274153071,1976-11-10 02:07:08,T367X5D,"Adverse effect of antifungal antibiotics, systemically used, subsequent encounter",icd10
379751235,1981-09-30 02:32:28,M89639,"Osteopathy after poliomyelitis, unspecified forearm",icd10
321499465,1988-08-18 22:41:42,V655XXS,"Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident, sequela",icd10
346554062,1996-07-08 08:41:18,S82872M,"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with nonunion",icd10
230737212,2004-03-19 14:00:59,M41117,"Juvenile idiopathic scoliosis, lumbosacral region",icd10
282637173,2014-10-09 18:18:50,J95812,Postprocedural air leak,icd10
299586525,2015-09-25 06:06:05,Y92162,Bathroom in school dormitory as the place of occurrence of the external cause,icd10
350905108,1985-07-02 04:11:09,S72433G,"Displaced fracture of medial condyle of unspecified femur, subsequent encounter for closed fracture with delayed healing",icd10
219922043,2004-02-03 17:36:47,T457X5D,"Adverse effect of anticoagulant antagonists, vitamin K and other coagulants, subsequent encounter",icd10
349879810,1989-03-09 04:49:08,W5521XS,"Bitten by cow, sequela",icd10
232046528,1975-10-14 23:21:35,V145XXA,"Pedal cycle passenger injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",icd10
351824445,2006-08-17 07:44:18,G312,Degeneration of nervous system due to alcohol,icd10
226034032,1983-09-15 14:21:33,T82221S,"Breakdown (mechanical) of biological heart valve graft, sequela",icd10
321320191,1996-04-05 00:04:39,V622XXS,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",icd10
383809853,1992-06-29 09:53:31,M67861,"Other specified disorders of synovium, right knee",icd10
303895106,1994-02-25 06:24:11,O99814,Abnormal glucose complicating childbirth,icd10
382725123,2005-06-24 11:13:58,S90446D,"External constriction, unspecified lesser toe(s), subsequent encounter",icd10
226039347,1985-06-10 20:34:01,S8010XD,"Contusion of unspecified lower leg, subsequent encounter",icd10
383365475,1994-04-19 00:39:30,H829,"Vertiginous syndromes in diseases classified elsewhere, unspecified ear",icd10
262291305,1990-12-08 20:23:08,S82392B,"Other fracture of lower end of left tibia, initial encounter for open fracture type I or II",icd10
243281690,2001-12-04 09:54:32,T503X6D,"Underdosing of electrolytic, caloric and water-balance agents, subsequent encounter",icd10
376495590,2019-01-13 05:32:29,S82223A,"Displaced transverse fracture of shaft of unspecified tibia, initial encounter for closed fracture",icd10
278782636,2005-11-08 11:45:15,S92041B,"Displaced other fracture of tuberosity of right calcaneus, initial encounter for open fracture",icd10
248521215,2009-05-30 22:17:47,S52399N,"Other fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",icd10
327246850,1992-06-17 11:27:15,Z4824,Encounter for aftercare following lung transplant,icd10
312135981,2020-06-07 22:07:59,O753,Other infection during labor,icd10
299672739,1976-05-26 01:33:18,M84361A,"Stress fracture, right tibia, initial encounter for fracture",icd10
254298649,1995-08-20 17:58:02,S62640P,"Nondisplaced fracture of proximal phalanx of right index finger, subsequent encounter for fracture with malunion",icd10
370191134,1992-04-14 16:28:43,S82112G,"Displaced fracture of left tibial spine, subsequent encounter for closed fracture with delayed healing",icd10
245637886,2016-06-26 09:20:48,S42448B,"Incarcerated fracture (avulsion) of medial epicondyle of left humerus, initial encounter for open fracture",icd10
308704741,2002-01-31 10:20:49,S20459S,"Superficial foreign body of unspecified back wall of thorax, sequela",icd10
341162083,2014-05-28 11:27:02,S42114A,"Nondisplaced fracture of body of scapula, right shoulder, initial encounter for closed fracture",icd10
350854176,2001-07-14 09:42:47,Q7032,"Webbed toes, left foot",icd10
