סוג קוד,תיאור הבחנה,קוד הבחנה,תאריך ביקור,תעודת זהות
301147651,1976-12-29 02:25:28,M93841,"Other specified osteochondropathies, right hand",icd10
237834930,1975-09-20 16:45:53,H1713,"Central corneal opacity, bilateral",icd10
312501242,1982-05-17 10:20:30,S37521S,"Contusion of fallopian tube, unilateral, sequela",icd10
271831225,1997-07-26 12:02:08,S42132G,"Displaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with delayed healing",icd10
360615982,1981-06-30 20:38:30,R441,Visual hallucinations,icd10
225052249,2007-03-25 11:17:44,S32402K,"Unspecified fracture of left acetabulum, subsequent encounter for fracture with nonunion",icd10
226524045,1999-03-04 08:39:42,S0184XD,"Puncture wound with foreign body of other part of head, subsequent encounter",icd10
204418677,2002-06-11 04:23:15,S72325S,"Nondisplaced transverse fracture of shaft of left femur, sequela",icd10
297506693,2006-01-09 06:56:52,S49032D,"Salter-Harris Type III physeal fracture of upper end of humerus, left arm, subsequent encounter for fracture with routine healing",icd10
237039671,2007-08-12 22:57:11,S0340XA,"Sprain of jaw, unspecified side, initial encounter",icd10
246520684,2001-03-26 18:54:28,X920XXS,"Assault by drowning and submersion while in bathtub, sequela",icd10
226123462,2008-05-29 00:15:18,S72122F,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",icd10
343868393,2002-11-22 13:06:54,S55291A,"Other specified injury of vein at forearm level, right arm, initial encounter",icd10
305589622,1976-05-04 09:05:33,T522X3D,"Toxic effect of homologues of benzene, assault, subsequent encounter",icd10
231408149,2001-10-03 03:09:11,O99352,"Diseases of the nervous system complicating pregnancy, second trimester",icd10
330722696,2007-10-08 10:07:49,I2541,Coronary artery aneurysm,icd10
382122438,1989-09-14 07:26:13,E13649,Other specified diabetes mellitus with hypoglycemia without coma,icd10
336601492,1972-12-18 00:04:46,S72444C,"Nondisplaced fracture of lower epiphysis (separation) of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",icd10
300652815,2018-01-31 09:11:21,V785XXA,"Driver of bus injured in noncollision transport accident in traffic accident, initial encounter",icd10
253269478,1981-01-18 10:39:21,S31651A,"Open bite of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter",icd10
345873934,1978-09-07 06:53:13,E113513,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",icd10
323826753,2000-03-30 14:58:32,T23222S,"Burn of second degree of single left finger (nail) except thumb, sequela",icd10
255678420,1976-02-27 00:02:52,H11062,Recurrent pterygium of left eye,icd10
330845372,1974-03-12 19:44:57,O43012,"Fetomaternal placental transfusion syndrome, second trimester",icd10
310990986,1999-09-10 10:56:55,S37529D,"Contusion of fallopian tube, unspecified, subsequent encounter",icd10
372845467,2001-01-01 02:53:51,T3274,Corrosions involving 70-79% of body surface with 40-49% third degree corrosion,icd10
358022865,1984-12-12 03:52:14,S68610A,"Complete traumatic transphalangeal amputation of right index finger, initial encounter",icd10
232888289,2014-05-08 05:03:11,M23639,Other spontaneous disruption of medial collateral ligament of unspecified knee,icd10
319019951,2017-05-28 23:25:02,T41295A,"Adverse effect of other general anesthetics, initial encounter",icd10
200668584,1979-10-05 16:26:16,S42232B,"3-part fracture of surgical neck of left humerus, initial encounter for open fracture",icd10
222929475,2004-08-13 01:45:39,S72002Q,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with malunion",icd10
305479835,1975-05-13 04:47:19,Z0441,Encounter for examination and observation following alleged adult rape,icd10
340002990,1977-10-27 07:32:01,T85610D,"Breakdown (mechanical) of cranial or spinal infusion catheter, subsequent encounter",icd10
219604315,1998-08-26 08:21:19,N072,"Hereditary nephropathy, not elsewhere classified with diffuse membranous glomerulonephritis",icd10
266128045,1992-12-12 10:26:13,S00532S,"Contusion of oral cavity, sequela",icd10
224985144,1996-06-08 05:45:21,S49002A,"Unspecified physeal fracture of upper end of humerus, left arm, initial encounter for closed fracture",icd10
354452156,1978-01-08 18:37:14,N035,Chronic nephritic syndrome with diffuse mesangiocapillary glomerulonephritis,icd10
234770472,1975-05-31 00:29:35,S49109D,"Unspecified physeal fracture of lower end of humerus, unspecified arm, subsequent encounter for fracture with routine healing",icd10
259719295,1992-01-12 05:23:05,S70361D,"Insect bite (nonvenomous), right thigh, subsequent encounter",icd10
363449322,1987-11-18 20:10:23,W361XXS,"Explosion and rupture of aerosol can, sequela",icd10
301823921,1996-04-26 13:07:04,S42342B,"Displaced spiral fracture of shaft of humerus, left arm, initial encounter for open fracture",icd10
385458469,1998-08-11 11:35:11,S83005S,"Unspecified dislocation of left patella, sequela",icd10
332563825,2019-06-27 05:21:38,S49109A,"Unspecified physeal fracture of lower end of humerus, unspecified arm, initial encounter for closed fracture",icd10
266335374,1983-10-28 21:34:06,T501X6A,"Underdosing of loop [high-ceiling] diuretics, initial encounter",icd10
380866755,2020-03-23 00:20:54,M9702XS,"Periprosthetic fracture around internal prosthetic left hip joint, sequela",icd10
287110649,2009-12-12 04:31:50,L97222,Non-pressure chronic ulcer of left calf with fat layer exposed,icd10
346476610,2002-04-02 15:15:23,S68411A,"Complete traumatic amputation of right hand at wrist level, initial encounter",icd10
274286790,1978-12-17 15:20:29,S82301G,"Unspecified fracture of lower end of right tibia, subsequent encounter for closed fracture with delayed healing",icd10
388777031,1997-08-09 17:27:54,H61812,Exostosis of left external canal,icd10
239926187,2016-06-11 23:57:02,S21421D,"Laceration with foreign body of right back wall of thorax with penetration into thoracic cavity, subsequent encounter",icd10
283199868,2017-09-02 21:12:59,T2144XS,"Corrosion of unspecified degree of lower back, sequela",icd10
300708591,1974-09-02 22:16:59,S00409D,"Unspecified superficial injury of unspecified ear, subsequent encounter",icd10
213687765,1995-07-28 13:41:23,S56901D,"Unspecified injury of unspecified muscles, fascia and tendons at forearm level, right arm, subsequent encounter",icd10
276108027,1988-01-28 22:44:20,S61248S,"Puncture wound with foreign body of other finger without damage to nail, sequela",icd10
290290148,1998-07-07 11:00:16,M89157,"Partial physeal arrest, right distal femur",icd10
335309947,2020-07-31 02:10:08,H50022,"Monocular esotropia with A pattern, left eye",icd10
311261440,2012-01-15 07:16:31,P389,Omphalitis without hemorrhage,icd10
264752775,2009-06-09 17:21:16,S49121D,"Salter-Harris Type II physeal fracture of lower end of humerus, right arm, subsequent encounter for fracture with routine healing",icd10
287205040,2005-02-09 18:36:39,C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",icd10
303228899,2016-10-24 01:26:33,M1A4721,"Other secondary chronic gout, left ankle and foot, with tophus (tophi)",icd10
354105528,1984-08-27 18:25:27,M06339,"Rheumatoid nodule, unspecified wrist",icd10
