תעודת זהות,תאריך ביקור,קוד הבחנה,עומק קוד הבחנה,תיאור הבחנה,קוד מרפאה,סוג קוד
387477502.0,2015-07-05 03:33:05,V02.52,5,Other streptococcus,2972,icd9
229291368.0,1989-03-04 14:29:44,840.9,4,Unspecified site of shoulder and upper arm,2344,icd9
264175164.0,1982-02-21 22:17:49,614.5,4,"Acute or unspecified pelvic peritonitis, female",7882,icd9
,1989-12-28 10:39:46,652.6,4,Multiple gestation with malpresentation of one fetus or more,3543,icd9
247802576.0,1983-05-03 01:21:55,901.9,4,Unspecified blood vessel of thorax,2515,icd9
326817682.0,1994-12-27 22:55:45,344.4,4,Monoplegia of upper limb,7364,icd9
239806305.0,2018-10-05 19:44:46,824,3,Fracture of ankle,2047,icd9
235322777.0,1987-08-31 13:54:16,E864.0,4,Corrosive aromatics,7116,icd9
354573927.0,1980-07-29 18:19:46,742,3,Other congenital anomalies of nervous system,4224,icd9
370120277.0,1987-05-05 11:53:09,372.12,5,Chronic follicular conjunctivitis,9608,icd9
371285480.0,1992-05-21 19:55:09,736.32,5,Coxa vara (acquired),3075,icd9
298701932.0,1985-10-16 15:29:00,634.9,4,Without mention of complication,4934,icd9
355716073.0,1980-05-27 15:28:19,344.31,5,Affecting dominant side,6321,icd9
241092718.0,1974-04-28 18:04:10,371.70,5,"Corneal deformity, unspecified",7573,icd9
,1971-04-01 00:48:50,366.16,5,Nuclear sclerosis,4303,icd9
269302470.0,2001-11-09 14:53:19,E850.6,4,Antirheumatics [antiphlogistics],3611,icd9
210505989.0,1990-01-22 19:51:21,716.0,4,Kaschin-Beck disease,7882,icd9
270234762.0,1991-09-08 06:13:03,790.22,5,Impaired glucose tolerance test (oral),1323,icd9
215980192.0,1974-11-28 08:58:34,854,3,Intracranial injury of other and unspecified nature,9657,icd9
246026130.0,1994-03-17 14:54:43,V25.0,4,General counseling and advice,8724,icd9
357084274.0,2014-05-20 13:10:26,258,3,Polyglandular dysfunction and related disorders,3146,icd9
283563924.0,2013-09-14 15:57:01,E888.1,4,Fall resulting in striking against other object,1404,icd9
285337521.0,1992-01-02 04:07:31,873.44,5,Jaw,6321,icd9
,2012-12-20 15:11:45,783.21,5,Loss of weight,1404,icd9
,2015-04-23 17:44:57,996.46,5,Articular bearing surface wear of prosthetic joint,6755,icd9
316777089.0,2009-06-12 00:04:44,901.83,5,Multiple blood vessels of thorax,6238,icd9
,2012-06-21 08:10:40,813.22,5,Ulna (alone),1286,icd9
379720767.0,1996-09-21 11:10:41,785,3,Symptoms involving cardiovascular system,8724,icd9
214897700.0,2014-12-01 08:00:31,982.0,4,Benzene and homologues,1286,icd9
316667846.0,2000-07-22 08:21:57,378.13,5,Monocular exotropia with V pattern,3962,icd9
232024336.0,2013-05-22 11:42:05,996.30,5,"Unspecified device, implant, and graft",7882,icd9
370302869.0,1998-06-06 22:26:24,036.89,5,Other,6755,icd9
376557554.0,2019-12-14 17:46:16,770.16,5,Aspiration of blood with respiratory symptoms,2912,icd9
206722312.0,1976-12-18 10:16:59,654.0,4,Congenital abnormalities of uterus,7573,icd9
,1993-03-16 02:15:51,116.2,4,Lobomycosis,6238,icd9
,2000-09-19 12:15:09,008.02,5,Enterotoxigenic E. coli,5714,icd9
384669956.0,2011-03-28 09:39:30,380.23,5,Other chronic otitis externa,9657,icd9
379385292.0,2007-04-28 14:55:39,348.39,5,Other encephalopathy,6238,icd9
,2014-12-13 10:49:41,V10.84,5,Eye,3075,icd9
287684267.0,2002-05-15 20:20:46,357.7,4,Polyneuropathy due to other toxic agents,5714,icd9
312295265.0,1976-05-12 07:12:57,100.81,5,Leptospiral meningitis (aseptic),3075,icd9
216530754.0,1994-01-28 16:04:59,762,3,"Fetus or newborn affected by complications of placenta, cord, and membranes",2912,icd9
207385340.0,1994-12-19 04:56:36,V10.63,5,Monocytic leukemia,3647,icd9
266969378.0,1983-12-17 18:39:04,464.3,4,Acute epiglottitis,1286,icd9
336393381.0,1985-06-23 17:56:35,V53.3,4,Cardiac device,1500,icd9
323693985.0,1977-05-09 17:13:39,999.3,4,Other infection,1323,icd9
,1972-10-23 12:17:21,300.13,5,Dissociative fugue,3146,icd9
359387520.0,1985-09-09 04:16:21,227.1,4,Parathyroid gland,7107,icd9
226716961.0,1999-02-12 02:52:56,728.71,5,Plantar fascial fibromatosis,4934,icd9
