סוג קוד,תיאור הבחנה,קוד הבחנה,תאריך ביקור,תעודת זהות
322757114,1981-06-07 21:27:14,S63207D,"Unspecified subluxation of left little finger, subsequent encounter",icd10
240748954,1993-06-07 22:58:28,M21051,"Valgus deformity, not elsewhere classified, right hip",icd10
379240878,2020-09-03 19:11:51,C7B8,Other secondary neuroendocrine tumors,icd10
381028695,1973-11-03 00:58:39,Q691,Accessory thumb(s),icd10
241194735,1990-02-12 20:15:19,S34121S,"Incomplete lesion of L1 level of lumbar spinal cord, sequela",icd10
388871669,1980-08-13 23:16:15,S36521S,"Contusion of transverse colon, sequela",icd10
230740329,1985-07-29 14:34:20,S72012E,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with routine healing",icd10
288871098,2003-05-30 12:18:30,T371X3S,"Poisoning by antimycobacterial drugs, assault, sequela",icd10
266488265,2004-04-02 23:39:34,T24129A,"Burn of first degree of unspecified knee, initial encounter",icd10
260498515,1989-09-30 07:31:48,H8112,"Benign paroxysmal vertigo, left ear",icd10
236724823,2000-12-14 11:53:41,S60571D,"Other superficial bite of hand of right hand, subsequent encounter",icd10
359037566,2019-11-14 00:46:26,R789,"Finding of unspecified substance, not normally found in blood",icd10
303918779,1996-02-13 03:59:46,V316XXD,"Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter",icd10
331639749,1986-02-24 19:21:00,T478X3S,"Poisoning by other agents primarily affecting gastrointestinal system, assault, sequela",icd10
223303365,1997-10-19 00:43:25,S52264R,"Nondisplaced segmental fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",icd10
307765141,1989-01-09 03:57:54,V0110XS,"Pedestrian on foot injured in collision with pedal cycle in traffic accident, sequela",icd10
200581343,1977-01-24 04:03:53,S43431S,"Superior glenoid labrum lesion of right shoulder, sequela",icd10
254723858,2005-03-20 13:26:51,S60391S,"Other superficial injuries of right thumb, sequela",icd10
351656422,1985-11-27 23:25:06,M23642,Other spontaneous disruption of lateral collateral ligament of left knee,icd10
220916579,1999-06-01 18:22:01,M06039,"Rheumatoid arthritis without rheumatoid factor, unspecified wrist",icd10
203414425,1985-09-20 20:47:03,V353XXA,"Unspecified occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",icd10
312670655,2003-01-22 01:18:56,V701XXD,"Passenger on bus injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",icd10
310652583,1990-11-15 22:39:05,T20312A,"Burn of third degree of left ear [any part, except ear drum], initial encounter",icd10
