סוג קוד,תיאור הבחנה,קוד הבחנה,תאריך ביקור,תעודת זהות
289820941,2004-07-14 20:28:45,T486X3S,"Poisoning by antiasthmatics, assault, sequela",icd10
377593436,2001-01-15 12:09:02,S52124N,"Nondisplaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",icd10
254867241,2010-05-05 21:37:05,Y92029,Unspecified place in mobile home as the place of occurrence of the external cause,icd10
293386006,1988-12-30 02:56:23,I69811,Memory deficit following other cerebrovascular disease,icd10
377250584,2017-07-02 18:25:54,S32415A,"Nondisplaced fracture of anterior wall of left acetabulum, initial encounter for closed fracture",icd10
242548548,1972-09-20 12:15:37,T22032A,"Burn of unspecified degree of left upper arm, initial encounter",icd10
302426751,1976-12-09 23:00:01,M84344A,"Stress fracture, right finger(s), initial encounter for fracture",icd10
351786314,2000-03-11 10:32:36,R978,Other abnormal tumor markers,icd10
246159222,2015-02-17 19:24:12,G8251,"Quadriplegia, C1-C4 complete",icd10
304163497,1984-05-09 04:28:09,H47091,"Other disorders of optic nerve, not elsewhere classified, right eye",icd10
277909996,1987-11-07 15:33:49,H9500,"Recurrent cholesteatoma of postmastoidectomy cavity, unspecified ear",icd10
357098601,1972-08-12 09:27:48,S83206A,"Unspecified tear of unspecified meniscus, current injury, right knee, initial encounter",icd10
379573046,1987-01-13 03:06:39,K567,"Ileus, unspecified",icd10
286368111,1985-02-23 01:17:57,S82421Q,"Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion",icd10
358422011,1991-10-06 19:21:19,S72415F,"Nondisplaced unspecified condyle fracture of lower end of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",icd10
354539231,2019-01-18 07:50:55,S66100D,"Unspecified injury of flexor muscle, fascia and tendon of right index finger at wrist and hand level, subsequent encounter",icd10
307247160,2013-05-18 12:07:57,M00142,"Pneumococcal arthritis, left hand",icd10
338818594,1979-06-08 09:58:47,M5127,"Other intervertebral disc displacement, lumbosacral region",icd10
309584242,1978-07-10 05:46:03,E133499,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",icd10
234231223,1974-01-05 18:06:28,S15092S,"Other specified injury of left carotid artery, sequela",icd10
292027815,2008-03-23 04:17:16,S63417A,"Traumatic rupture of collateral ligament of left little finger at metacarpophalangeal and interphalangeal joint, initial encounter",icd10
255304041,1988-09-21 23:10:03,M6628,"Spontaneous rupture of extensor tendons, other site",icd10
359826562,1989-09-17 16:54:18,Y382X3S,"Terrorism involving other explosions and fragments, terrorist injured, sequela",icd10
346858598,1982-04-02 00:22:58,S06813S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",icd10
366872869,2006-06-18 07:03:25,S75119S,"Minor laceration of femoral vein at hip and thigh level, unspecified leg, sequela",icd10
221679405,1987-08-17 06:17:59,T6402XS,"Toxic effect of aflatoxin, intentional self-harm, sequela",icd10
283960763,1991-02-06 03:07:47,M00222,"Other streptococcal arthritis, left elbow",icd10
332705545,1999-01-27 06:51:00,S52041M,"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with nonunion",icd10
256272281,1980-12-04 19:32:07,G8322,Monoplegia of upper limb affecting left dominant side,icd10
373103673,1990-03-27 22:18:30,S72114P,"Nondisplaced fracture of greater trochanter of right femur, subsequent encounter for closed fracture with malunion",icd10
259474706,2005-03-05 08:38:44,H52212,"Irregular astigmatism, left eye",icd10
384350423,2000-05-15 17:54:41,T84011S,"Broken internal left hip prosthesis, sequela",icd10
323345246,2003-10-03 23:28:27,V9108XD,"Burn due to other unpowered watercraft on fire, subsequent encounter",icd10
254393870,1983-02-13 17:12:41,S42325B,"Nondisplaced transverse fracture of shaft of humerus, left arm, initial encounter for open fracture",icd10
201641975,2006-12-07 10:48:41,S0430XS,"Injury of trigeminal nerve, unspecified side, sequela",icd10
312458827,1983-09-27 06:46:37,E8779,Other fluid overload,icd10
259462276,1979-07-31 12:22:32,S52399K,"Other fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion",icd10
279902838,1985-07-20 17:31:29,S83191D,"Other subluxation of right knee, subsequent encounter",icd10
279254729,2005-12-29 13:37:22,V9110XS,"Crushed between merchant ship and other watercraft or other object due to collision, sequela",icd10
219540114,1983-09-06 00:38:42,T65893S,"Toxic effect of other specified substances, assault, sequela",icd10
260909165,2004-09-15 10:35:56,V9383XD,"Other injury due to other accident on board other powered watercraft, subsequent encounter",icd10
298590616,1975-12-28 11:37:44,A690,Necrotizing ulcerative stomatitis,icd10
225809288,1977-05-01 04:46:51,M12479,"Intermittent hydrarthrosis, unspecified ankle and foot",icd10
232866445,1989-05-09 01:04:23,S37502D,"Unspecified injury of fallopian tube, bilateral, subsequent encounter",icd10
373058560,2012-10-22 05:39:39,S27311S,"Primary blast injury of lung, unilateral, sequela",icd10
213710798,1985-06-30 05:39:14,K741,Hepatic sclerosis,icd10
347611230,2015-03-17 17:55:49,S92112S,"Displaced fracture of neck of left talus, sequela",icd10
379718531,1973-02-04 06:27:26,T25221S,"Burn of second degree of right foot, sequela",icd10
279429819,1975-01-31 06:33:21,S06342D,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",icd10
307016976,1995-03-01 10:01:26,E83111,Hemochromatosis due to repeated red blood cell transfusions,icd10
239948517,2015-12-03 23:00:36,V0691XD,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",icd10
359783958,1985-06-16 04:44:48,S82034Q,"Nondisplaced transverse fracture of right patella, subsequent encounter for open fracture type I or II with malunion",icd10
341837181,2003-02-10 00:32:19,S56492D,"Other injury of extensor muscle, fascia and tendon of left index finger at forearm level, subsequent encounter",icd10
217865300,2017-04-09 11:52:38,T387X5D,"Adverse effect of androgens and anabolic congeners, subsequent encounter",icd10
297658853,1992-10-10 02:44:36,S82154K,"Nondisplaced fracture of right tibial tuberosity, subsequent encounter for closed fracture with nonunion",icd10
324750518,1984-05-31 22:00:25,W310XXS,"Contact with mining and earth-drilling machinery, sequela",icd10
309998044,2002-07-26 22:39:46,S92113P,"Displaced fracture of neck of unspecified talus, subsequent encounter for fracture with malunion",icd10
304393578,1992-06-07 10:23:30,S92116K,"Nondisplaced fracture of neck of unspecified talus, subsequent encounter for fracture with nonunion",icd10
349164842,2003-08-01 04:37:18,S78121A,"Partial traumatic amputation at level between right hip and knee, initial encounter",icd10
384976217,2007-07-29 14:08:42,V183XXS,"Person boarding or alighting a pedal cycle injured in noncollision transport accident, sequela",icd10
344158063,2004-05-21 14:04:45,S00429D,"Blister (nonthermal) of unspecified ear, subsequent encounter",icd10
