סוג קוד,תיאור הבחנה,קוד הבחנה,תאריך ביקור,תעודת זהות
312565694,2009-03-05 05:59:19,H353222,"Exudative age-related macular degeneration, left eye, with inactive choroidal neovascularization",icd10
369814259,2015-03-30 02:31:35,Q6473,Congenital urethrorectal fistula,icd10
350020023,2010-03-06 23:05:51,W5809XS,"Other contact with alligator, sequela",icd10
349374219,2006-03-19 15:11:03,M4836,"Traumatic spondylopathy, lumbar region",icd10
302535883,1978-05-22 07:57:26,E7525,Metachromatic leukodystrophy,icd10
225380316,1974-06-02 11:51:28,V471XXA,"Car passenger injured in collision with fixed or stationary object in nontraffic accident, initial encounter",icd10
244223859,2020-07-09 09:32:06,T8613,Kidney transplant infection,icd10
227632271,2015-05-10 02:53:59,S31603S,"Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela",icd10
271962551,2011-06-02 05:41:25,Z659,Problem related to unspecified psychosocial circumstances,icd10
380854369,1995-10-01 05:26:08,S63071S,"Subluxation of distal end of right ulna, sequela",icd10
235370182,1994-06-18 14:22:33,M86611,"Other chronic osteomyelitis, right shoulder",icd10
362456197,2020-02-04 15:01:55,S06345A,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",icd10
350068586,2015-02-05 06:56:01,I731,Thromboangiitis obliterans [Buerger's disease],icd10
385064133,1986-11-18 09:11:21,S12250G,"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",icd10
349105110,2002-10-13 05:50:33,V5981XA,"Occupant (driver) (passenger) of pick-up truck or van injured in transport accident with military vehicle, initial encounter",icd10
240024807,2007-01-23 07:37:41,O00201,Right ovarian pregnancy without intrauterine pregnancy,icd10
234322019,2013-08-17 22:09:10,S1184XD,"Puncture wound with foreign body of other specified part of neck, subsequent encounter",icd10
269839998,1993-01-10 08:49:10,S91225S,"Laceration with foreign body of left lesser toe(s) with damage to nail, sequela",icd10
244753029,2014-01-20 04:34:51,Y38893S,"Terrorism involving other means, terrorist injured, sequela",icd10
235747056,2006-08-26 20:49:43,S91131D,"Puncture wound without foreign body of right great toe without damage to nail, subsequent encounter",icd10
291847557,1997-05-18 20:44:22,V670XXD,"Driver of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",icd10
292914639,1992-12-26 06:23:10,S5702XS,"Crushing injury of left elbow, sequela",icd10
272213106,2005-12-24 23:55:15,S069X0D,"Unspecified intracranial injury without loss of consciousness, subsequent encounter",icd10
344544059,2001-03-18 05:55:17,S32312G,"Displaced avulsion fracture of left ilium, subsequent encounter for fracture with delayed healing",icd10
242588593,1992-02-01 21:55:11,S29022D,"Laceration of muscle and tendon of back wall of thorax, subsequent encounter",icd10
254845629,1984-05-01 05:43:06,V4364XD,"Car passenger injured in collision with van in traffic accident, subsequent encounter",icd10
346981269,1991-10-25 14:00:15,S89149G,"Salter-Harris Type IV physeal fracture of lower end of unspecified tibia, subsequent encounter for fracture with delayed healing",icd10
220769413,1984-08-30 04:37:22,S42333G,"Displaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing",icd10
355722772,1996-03-22 16:41:37,S91136D,"Puncture wound without foreign body of unspecified lesser toe(s) without damage to nail, subsequent encounter",icd10
363081885,1987-11-10 04:22:13,T63121A,"Toxic effect of venom of other venomous lizard, accidental (unintentional), initial encounter",icd10
247690778,2010-09-18 21:47:33,C163,Malignant neoplasm of pyloric antrum,icd10
367944596,2002-09-21 22:34:47,S61419S,"Laceration without foreign body of unspecified hand, sequela",icd10
216506152,2004-10-12 18:58:24,T80A0XA,"Non-ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, initial encounter",icd10
294384368,2006-12-06 06:36:23,T22739D,"Corrosion of third degree of unspecified upper arm, subsequent encounter",icd10
332328172,1974-08-01 09:16:52,M80841P,"Other osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with malunion",icd10
384889831,2005-07-29 11:12:23,Y239XXA,"Unspecified larger firearm discharge, undetermined intent, initial encounter",icd10
374519198,1976-02-18 20:31:05,Q2549,Other congenital malformations of aorta,icd10
279727312,1988-01-06 12:51:58,T24502A,"Corrosion of first degree of unspecified site of left lower limb, except ankle and foot, initial encounter",icd10
