תעודת זהות,תאריך ביקור,קוד הבחנה,עומק קוד הבחנה,תיאור הבחנה,קוד מרפאה,סוג קוד
,2001-04-09 02:04:01,463,3,Acute tonsillitis,2972,icd9
230725650.0,2017-10-27 01:29:10,046.19,5,Other and unspecified Creutzfeldt-Jakob disease,7573,icd9
279125775.0,1978-01-30 04:48:26,278.8,4,Other hyperalimentation,2912,icd9
211947960.0,1991-09-29 00:33:37,139.8,4,Late effects of other and unspecified infectious and parasitic diseases,8004,icd9
251049528.0,2018-03-16 01:15:11,891,3,"Open wound of knee, leg [except thigh], and ankle",9657,icd9
353054511.0,1988-12-15 19:47:32,V78.0,4,Iron deficiency anemia,2344,icd9
280739938.0,1988-05-01 20:58:35,778.9,4,Unspecified condition involving the integument and temperature regulation of fetus and newborn,4303,icd9
351981546.0,2011-08-10 23:57:10,903.02,5,Axillary vein,3647,icd9
368770901.0,2019-09-01 07:59:54,045.9,4,"Acute poliomyelitis, unspecified",4934,icd9
368991394.0,1996-12-08 23:50:43,716.1,4,Traumatic arthropathy,1211,icd9
336600057.0,1997-09-22 21:51:12,365.1,4,Open-angle glaucoma,9566,icd9
,2009-03-04 07:12:05,958.90,5,"Compartment syndrome, unspecified",9657,icd9
230908943.0,2007-06-01 02:58:53,374,3,Other disorders of eyelids,7573,icd9
361221587.0,2012-02-09 02:30:53,074.22,5,Coxsackie endocarditis,1211,icd9
219648695.0,1998-04-05 18:34:22,429,3,Ill-defined descriptions and complications of heart disease,3075,icd9
301374863.0,1989-01-05 04:56:17,201,3,Hodgkin's disease,9657,icd9
,2004-01-15 19:56:41,531.1,4,Acute with perforation,6755,icd9
,2005-08-13 09:01:31,307.49,5,Other,5253,icd9
,1999-08-09 11:18:26,047.1,4,ECHO virus,2533,icd9
347506466.0,2001-02-25 20:41:29,384.09,5,Other,8004,icd9
276298346.0,1984-09-23 09:21:39,363.0,4,Focal chorioretinitis and focal retinochoroiditis,2515,icd9
312175747.0,1987-08-11 22:49:46,380.00,5,"Perichondritis of pinna, unspecified",9608,icd9
,2016-05-01 18:43:56,V62.89,5,Other,7087,icd9
319209451.0,2010-12-13 15:09:53,072.9,4,Mumps without mention of complication,7087,icd9
,2000-02-24 13:48:04,924,3,Contusion of lower limb and of other and unspecified sites,1404,icd9
287146934.0,1978-05-12 21:32:34,995.6,4,Anaphylactic shock due to adverse food reaction,6755,icd9
245812323.0,2008-03-07 14:00:59,188.7,4,Urachus,3543,icd9
326845980.0,2004-07-26 18:18:26,V58.72,5,"Aftercare following surgery of the nervous system, NEC",9623,icd9
219493399.0,1985-05-21 14:56:24,032.81,5,Conjunctival diphtheria,3894,icd9
377090790.0,1982-08-15 12:28:24,730.1,4,Chronic osteomyelitis,4303,icd9
278289316.0,1983-02-25 17:39:39,297.3,4,Shared psychotic disorder,1282,icd9
346340129.0,2004-12-05 09:26:51,E958.0,4,Jumping or lying before moving object,1404,icd9
208484282.0,2003-06-16 19:22:29,726.61,5,Pes anserinus tendinitis or bursitis,4224,icd9
,2012-12-12 06:20:08,533.2,4,Acute with hemorrhage and perforation,5253,icd9
336624562.0,1976-09-20 00:18:10,780.97,5,Altered mental status,2912,icd9
,1998-03-14 10:46:50,197.3,4,Other respiratory organs,4934,icd9
365934516.0,1993-08-05 15:41:27,E941.1,4,Parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics,6238,icd9
366759757.0,1993-04-17 15:14:27,612,3,Deformity and disproportion of reconstructed breast,5196,icd9
202011663.0,1981-09-28 21:29:57,440.9,4,Generalized and unspecified atherosclerosis,1822,icd9
234686057.0,1973-10-03 07:16:22,E943.3,4,"Other cathartics, including intestinal atonia drugs",3962,icd9
312984097.0,1988-09-18 05:44:18,523.41,5,"Chronic periodontitis, localized",3962,icd9
266902348.0,2015-08-14 06:03:27,770.0,4,Congenital pneumonia,1977,icd9
,2002-11-18 11:19:59,300.23,5,Social phobia,7882,icd9
,2017-02-02 16:38:36,091.50,5,"Syphilitic uveitis, unspecified",2962,icd9
335748788.0,1973-08-27 21:36:33,V53.31,5,Cardiac pacemaker,5714,icd9
353153030.0,1995-04-07 15:16:30,386.3,4,Labyrinthitis,9186,icd9
306433860.0,1999-11-04 07:46:00,E850.1,4,Methadone,9420,icd9
,2015-07-14 14:04:13,093.9,4,"Cardiovascular syphilis, unspecified",7107,icd9
295224711.0,1983-07-10 13:06:12,E871.8,4,Other specified procedures,3643,icd9
277831535.0,2009-08-20 10:19:02,V67.51,5,"Following completed treatment with high-risk medication, not elsewhere classified",9608,icd9
,1992-12-22 00:41:59,012.8,4,Other specified respiratory tuberculosis,6238,icd9
250884439.0,1981-11-02 00:18:19,674,3,"Other and unspecified complications of the puerperium, not elsewhere classified",1500,icd9
351406873.0,1978-07-01 09:27:58,V12.01,5,Tuberculosis,7116,icd9
330020657.0,2014-12-29 18:44:37,998.6,4,Persistent postoperative fistula,7364,icd9
338020013.0,1999-10-28 10:21:26,909,3,Late effects of other and unspecified external causes,3146,icd9
203000993.0,1982-08-19 22:10:43,V81,3,"Special screening for cardiovascular, respiratory, and genitourinary diseases",2962,icd9
299564473.0,1976-09-24 09:17:32,375.11,5,Dacryops,5893,icd9
225436924.0,1989-06-23 05:51:14,209.6,4,Benign carcinoid tumors of other and unspecified sites,3146,icd9
379691447.0,2020-07-29 23:14:51,E985.2,4,Hunting rifle,9186,icd9
299896654.0,2012-02-21 04:13:33,590.2,4,Renal and perinephric abscess,8004,icd9
,1985-03-30 10:57:13,707.07,5,Heel,2533,icd9
239794828.0,1986-07-26 13:26:43,804.3,4,Closed with other and unspecified intracranial hemorrhage,9623,icd9
383726584.0,2019-10-26 04:57:50,800.4,4,Closed with intracranialinjury of other and unspecified nature,1282,icd9
245699303.0,1981-03-16 23:54:18,E879.6,4,Urinary catheterization,1977,icd9
252089735.0,2004-06-12 10:33:06,438.8,4,Other late effects of cerebrovascular disease,3611,icd9
,2003-04-23 06:46:42,370.9,4,Unspecified keratitis,1286,icd9
243810244.0,1992-10-17 09:45:24,996.31,5,Due to urethral [indwelling] catheter,8004,icd9
289816494.0,1973-09-20 07:55:30,996.46,5,Articular bearing surface wear of prosthetic joint,2912,icd9
305019408.0,1976-11-29 08:23:26,E878-E879,2,"SURGICAL AND MEDICAL PROCEDURES AS THE CAUSE OF ABNORMAL REACTION OF PATIENT OR LATER COMPLICATION,WITHOUT MENTION OF MISADVENTURE AT THE TIME OF PROCEDURE ",3611,icd9
389781607.0,1990-11-13 08:40:48,671.3,4,"Deep phlebothrombosis, antepartum",8625,icd9
246758582.0,1971-03-21 02:08:57,573.9,4,Unspecified disorder of liver,7107,icd9
377778772.0,1981-06-19 13:38:42,219.1,4,Corpus uteri,2515,icd9
,1994-04-29 18:24:51,825.22,5,"Navicular [scaphoid], foot",8625,icd9
225261232.0,1984-10-06 23:06:49,432,3,Other and unspecified intracranial hemorrhage,2912,icd9
326608858.0,1995-03-25 13:27:58,304.8,4,Combinations of drug dependence excluding opioid type drug,9623,icd9
200341130.0,1989-07-19 00:19:29,464.31,5,With obstruction,6755,icd9
216422380.0,1986-04-25 05:01:18,558,3,Other and unspecified noninfectious gastroenteritis and colitis,9608,icd9
312809927.0,1978-07-06 23:56:49,778.7,4,Breast engorgement in newborn,3894,icd9
,2019-12-17 17:03:50,435,3,Transient cerebral ischemia,6755,icd9
,1992-05-13 00:49:57,795.05,5,Cervical high risk human papillomavirus (HPV) DNA test positive,5714,icd9
